order_id,paid_at,payment_status,amountPaid,currencyCode,channel,transaction_id,orderRef,paidAt,status,amount,currency,method,txRef,order,timestamp,state,amt,ccy,paymentMethod,txn
ORD-000444,2023-12-26T22:44:47Z,FAILED,40000.0,NGN,ussd,c4053eb394bd,,,,,,,,,,,,,,
,,,,,,,ORD-000051,2023/10/11 00:04:00,SUCCESS,18000.0,NGN,ussd,TX-e0db986791e1,,,,,,,
,,,,,,,ORD-000326,2023/06/15 02:21:06,SUCCESS,40000.0,NGN,bank_transfer,TX-29e943358ef9,,,,,,,
,,,,,,,,,,,,,,ORD-001168,1695609487.0,FAILED,18000.0,NGN,ussd,TRX956710
,,,,,,,,,,,,,,ORD-000384,1703293121.0,SUCCESS,25000.0,USD,ussd,TRX738788
,,,,,,,,,,,,,,ORD-001275,1692117997.0,FAILED,5000.0,NGN,bank_transfer,TRX242164
ORD-000977,2023-06-30T12:44:44Z,FAILED,18000.0,USD,bank_transfer,86e5e0a49e48,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000052,1700670101.0,FAILED,40000.0,NGN,ussd,TRX658053
,,,,,,,ORD-001208,2023/12/23 16:37:49,SUCCESS,18000.0,NGN,bank_transfer,TX-cdb78ece60e7,,,,,,,
ORD-000794,2023-07-07T12:27:01Z,SUCCESS,9000.0,NGN,card,6fa348ef20a8,,,,,,,,,,,,,,
ORD-000722,2023-05-17T06:48:03Z,SUCCESS,5000.0,NGN,ussd,3c928a8539c0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000632,1686910298.0,FAILED,5000.0,NGN,ussd,TRX104574
ORD-000377,2023-04-15T18:26:09Z,SUCCESS,18000.0,NGN,ussd,f216ffe6b7c8,,,,,,,,,,,,,,
ORD-001007,2023-09-06T08:07:28Z,SUCCESS,40000.0,NGN,card,07f8f2c45d16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001237,1679113806.0,FAILED,9000.0,NGN,card,TRX456406
,,,,,,,,,,,,,,ORD-000131,1689549195.0,SUCCESS,12000.0,NGN,ussd,TRX279217
ORD-000048,2023-09-14T22:15:26Z,SUCCESS,9000.0,NGN,bank_transfer,df2fb7a563b3,,,,,,,,,,,,,,
ORD-000388,2023-08-23T20:28:28Z,FAILED,5000.0,NGN,card,a233a2615dc4,,,,,,,,,,,,,,
,,,,,,,ORD-000086,2023/10/31 21:02:48,SUCCESS,9000.0,NGN,ussd,TX-0418cb718989,,,,,,,
ORD-000354,2023-09-10T21:42:03Z,SUCCESS,25000.0,NGN,card,848f5c30d1b2,,,,,,,,,,,,,,
ORD-000490,2023-11-04T19:36:51Z,SUCCESS,40000.0,USD,bank_transfer,2fa81fc4f805,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-001014,1675618935.0,SUCCESS,40000.0,NGN,bank_transfer,TRX726588
,,,,,,,,,,,,,,ORD-000836,1698602080.0,SUCCESS,18000.0,NGN,bank_transfer,TRX669114
ORD-000427,2023-09-08T20:36:31Z,SUCCESS,12000.0,NGN,bank_transfer,7ad5e12b9c27,,,,,,,,,,,,,,
ORD-000575,2023-09-12T11:59:29Z,SUCCESS,40000.0,USD,ussd,760ce69ca358,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000725,1679196004.0,SUCCESS,12000.0,NGN,bank_transfer,TRX688842
,,,,,,,,,,,,,,ORD-000469,1704064940.0,SUCCESS,18000.0,NGN,ussd,TRX760583
ORD-000853,2023-03-25T19:43:17Z,SUCCESS,25000.0,NGN,bank_transfer,21c95cd2466e,,,,,,,,,,,,,,
,,,,,,,ORD-000316,2023/12/01 06:05:17,SUCCESS,25000.0,NGN,bank_transfer,TX-329f2092063c,,,,,,,
,,,,,,,,,,,,,,ORD-001041,1682286402.0,FAILED,25000.0,NGN,ussd,TRX688096
ORD-000516,2023-04-05T16:53:37Z,SUCCESS,25000.0,NGN,ussd,c32afb036afa,,,,,,,,,,,,,,
,,,,,,,ORD-001097,2023/05/19 06:27:00,FAILED,12000.0,NGN,ussd,TX-0215725b81a0,,,,,,,
,,,,,,,,,,,,,,ORD-000740,1673600951.0,SUCCESS,18000.0,NGN,ussd,TRX273208
,,,,,,,ORD-000017,2023/06/27 19:48:12,FAILED,25000.0,USD,card,TX-537a2adc6f78,,,,,,,
,,,,,,,ORD-001162,2023/09/28 15:58:45,SUCCESS,18000.0,USD,card,TX-34e62a68cda5,,,,,,,
ORD-000645,2023-09-04T14:02:04Z,SUCCESS,40000.0,NGN,bank_transfer,c103c9060483,,,,,,,,,,,,,,
,,,,,,,ORD-001344,2023/01/25 15:15:46,SUCCESS,12000.0,NGN,bank_transfer,TX-008483fdaceb,,,,,,,
,,,,,,,,,,,,,,ORD-000079,1676982371.0,SUCCESS,12000.0,NGN,ussd,TRX124284
,,,,,,,ORD-001152,2023/05/02 00:48:21,FAILED,9000.0,USD,card,TX-76ac4cd978b0,,,,,,,
,,,,,,,,,,,,,,ORD-000543,1695571839.0,SUCCESS,18000.0,NGN,card,TRX750579
,,,,,,,ORD-000678,2023/01/31 13:15:05,SUCCESS,5000.0,USD,ussd,TX-fa3a97beea2f,,,,,,,
,,,,,,,,,,,,,,ORD-000723,1673510737.0,SUCCESS,9000.0,NGN,card,TRX583098
,,,,,,,,,,,,,,ORD-000306,1687098223.0,SUCCESS,40000.0,USD,bank_transfer,TRX460653
,,,,,,,,,,,,,,ORD-000105,1684727476.0,SUCCESS,40000.0,NGN,ussd,TRX809778
ORD-000600,2023-02-01T03:57:23Z,SUCCESS,25000.0,USD,bank_transfer,8c34d30d717c,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ORD-000166,1680320871.0,SUCCESS,12000.0,NGN,card,TRX460731
