orderRef,refundedAt,amount,currency,reason,items,order_id,refunded_at,refundAmount,currencyCode,refund_reason,refunded_items,order,ts,amt,ccy,items_refunded
ORD-000812,2023-08-03T20:31:17,25000.0,NGN,damaged,,,,,,,,,,,,
ORD-000462,2023-12-29T19:14:43,4000.0,USD,customer_request,"[{'sku': 'SKU-0117', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
,,,,,,ORD-000462,2023-12-03T21:08:16Z,25000.0,NGN,customer_request,,,,,,
ORD-000154,2023-09-15T06:59:19,4000.0,NGN,customer_request,"[{'sku': 'SKU-0217', 'qty': 1, 'amount': 4000}]",,,,,,,,,,,
,,,,,,ORD-000154,2023-05-31T17:58:46Z,9000.0,NGN,late_delivery,,,,,,
,,,,,,ORD-000074,2023-07-12T08:49:14Z,4000.0,NGN,customer_request,"[{'sku': 'SKU-0161', 'qty': 2, 'amount': 4000}]",,,,,
,,,,duplicate,,,,,,,,ORD-001171,1672772813.0,2500.0,NGN,"[{'sku': 'SKU-0176', 'qty': 2, 'amount': 2500}]"
,,,,,,ORD-000424,2023-01-11T13:43:52Z,4000.0,NGN,customer_request,"[{'sku': 'SKU-0107', 'qty': 1, 'amount': 4000}]",,,,,
,,,,,,ORD-000074,2023-11-24T10:06:09Z,5000.0,NGN,late_delivery,,,,,,
ORD-000501,2023-12-08T04:04:57,12000.0,NGN,customer_request,,,,,,,,,,,,
ORD-000424,2023-09-13T08:35:27,10500.0,NGN,damaged,"[{'sku': 'SKU-0051', 'qty': 1, 'amount': 4000}, {'sku': 'SKU-0014', 'qty': 1, 'amount': 6500}]",,,,,,,,,,,
,,,,late_delivery,,,,,,,,ORD-000192,1700800049.0,5000.0,NGN,"[{'sku': 'SKU-0106', 'qty': 1, 'amount': 2500}, {'sku': 'SKU-0086', 'qty': 1, 'amount': 2500}]"
,,,,duplicate,,,,,,,,ORD-000462,1689894882.0,12000.0,NGN,
,,,,customer_request,,,,,,,,ORD-000454,1675926209.0,5000.0,NGN,
,,,,duplicate,,,,,,,,ORD-000057,1682545332.0,8000.0,NGN,"[{'sku': 'SKU-0124', 'qty': 1, 'amount': 1500}, {'sku': 'SKU-0092', 'qty': 2, 'amount': 6500}]"
,,,,,,ORD-000249,2023-06-01T23:26:50Z,4000.0,USD,damaged,"[{'sku': 'SKU-0057', 'qty': 2, 'amount': 4000}]",,,,,
,,,,damaged,,,,,,,,ORD-001047,1695197857.0,18000.0,USD,
